defined_class	defined_class_label	anatomical_entity	anatomical_entity_label	location	location_label	shape	shape_label
http://purl.obolibrary.org/obo/HP_0100068	Cone-shaped epiphyses of the 4th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0003634	pedal digit 4	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009384	Cone-shaped epiphyses of the 5th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003625	manual digit 5	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100079	Cone-shaped epiphyses of the 5th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0003635	pedal digit 5	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0010248	Cone-shaped epiphyses of the distal phalanges of the hand	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003865	distal phalanx of manus	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0010115	Cone-shaped epiphyses of the hallux	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0003640	pedal digit 1 phalanx	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0010259	Cone-shaped epiphyses of the middle phalanges of the hand	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0003864	middle phalanx of manus	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0010270	Cone-shaped epiphyses of the proximal phalanges of the hand	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0002234	proximal phalanx of manus	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0010164	Cone-shaped epiphyses of the toes	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0001449	phalanx of pes	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009504	Cone-shaped epiphysis of the distal phalanx of the 2nd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004311	distal phalanx of manual digit 2	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100102	Cone-shaped epiphysis of the distal phalanx of the 2nd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004316	distal phalanx of pedal digit 2	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009337	Cone-shaped epiphysis of the distal phalanx of the 3rd finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004312	distal phalanx of manual digit 3	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100137	Cone-shaped epiphysis of the distal phalanx of the 3rd toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004317	distal phalanx of pedal digit 3	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0009252	Cone-shaped epiphysis of the distal phalanx of the 4th finger	http://purl.obolibrary.org/obo/UBERON_0004387	epiphysis of phalanx of manus	http://purl.obolibrary.org/obo/UBERON_0004313	distal phalanx of manual digit 4	http://purl.obolibrary.org/obo/PATO_0002021	conical
http://purl.obolibrary.org/obo/HP_0100171	Cone-shaped epiphysis of the distal phalanx of the 4th toe	http://purl.obolibrary.org/obo/UBERON_0001437	epiphysis	http://purl.obolibrary.org/obo/UBERON_0004318	distal phalanx of pedal digit 4	http://purl.obolibrary.org/obo/PATO_0002021	conical
